"age","female","metro","member","location","pilot","ID","last","cash","sat"
41,1,1,4,1,1,10001,51,0,5
52,1,1,4,1,1,10002,40,1,3
49,1,1,1,1,1,10003,45,1,1
45,1,1,3,1,1,10005,109,0,2
44,0,1,3,1,1,10007,48,0,2
54,1,1,3,1,1,10008,52,1,2
NA,1,1,2,1,1,10015,102,0,1
44,1,1,4,1,1,10019,42,0,3
46,1,1,2,1,1,10022,51,0,1
43,0,1,3,1,1,10023,101,0,3
44,1,1,1,1,1,10024,84,0,1
46,1,1,3,1,1,10025,61,0,1
47,1,1,3,1,1,10026,42,0,3
44,1,1,3,1,1,10027,49,0,1
56,1,1,1,1,1,10028,86,0,1
39,1,1,2,1,1,10030,83,0,1
44,0,1,3,1,1,10031,207,0,1
49,1,1,1,1,1,10032,140,0,1
42,1,1,4,1,1,10033,92,0,2
38,0,1,3,1,1,10034,103,0,5
50,1,1,2,1,1,10035,51,1,1
60,1,1,2,1,1,10037,83,1,1
43,1,1,1,1,1,10039,84,0,1
44,1,1,2,1,1,10042,90,0,1
56,1,1,1,1,1,10043,NA,NA,NA
47,1,1,4,1,1,10044,61,0,2
47,0,1,1,1,1,10046,90,0,1
45,0,1,2,1,1,10047,54,0,1
40,1,1,4,1,1,10048,63,0,3
48,1,1,1,1,1,10050,34,1,1
43,0,1,1,1,1,10051,100,0,1
52,1,1,4,1,1,10052,93,0,2
32,1,1,1,1,1,10054,86,0,1
47,1,1,2,1,1,10055,49,0,1
62,1,1,4,1,1,10056,43,1,5
44,0,1,1,1,1,10058,101,0,1
53,1,1,4,1,1,10059,41,1,5
51,1,1,2,1,1,10060,80,0,1
56,1,1,1,1,1,10061,78,0,1
57,1,1,4,1,1,10063,22,1,5
53,1,1,1,1,1,10065,28,1,2
40,1,1,2,1,1,10069,156,0,2
50,1,1,3,1,1,10071,31,0,1
NA,NA,1,3,1,1,10072,105,0,3
53,1,1,3,1,1,10074,43,1,1
45,1,1,2,1,1,10075,97,0,1
51,1,1,3,1,1,10076,77,0,3
45,1,1,2,1,1,10077,63,0,3
52,1,1,2,1,1,10079,101,0,1
53,1,1,2,1,1,10080,NA,NA,NA
46,1,1,1,1,1,10081,45,0,2
48,1,1,3,1,1,10082,36,1,1
49,1,1,1,1,1,10083,52,0,1
47,1,1,4,1,1,10084,64,0,3
49,1,1,4,1,1,10086,56,0,3
49,1,1,4,1,1,10087,74,0,4
59,1,1,4,1,1,10088,40,1,4
50,1,1,1,1,1,10089,59,0,1
56,1,1,3,1,1,10090,60,1,3
52,1,1,4,1,1,10092,NA,NA,NA
NA,NA,1,3,1,1,10093,105,0,3
42,1,1,4,1,1,10096,53,0,3
54,1,1,3,1,1,10097,33,1,1
50,1,1,3,1,1,10098,48,1,1
46,1,1,2,1,1,10099,43,0,1
60,1,1,1,1,1,10103,84,0,1
NA,NA,1,3,1,1,10104,95,0,1
63,0,1,4,1,1,10106,37,1,3
57,1,1,2,1,1,10108,62,0,2
42,1,1,1,1,1,10113,134,0,1
44,1,1,2,1,1,10114,58,0,1
40,1,1,1,1,1,10119,71,0,1
46,1,1,1,1,1,10120,75,0,1
60,1,1,1,1,1,10121,87,0,1
38,0,1,4,1,1,10122,31,0,1
42,1,1,2,1,1,10124,27,0,1
57,1,1,1,1,1,10125,NA,NA,NA
48,1,1,4,1,1,10126,35,1,3
55,1,1,1,1,1,10127,40,1,1
43,1,1,1,1,1,10128,66,0,1
59,1,1,1,1,1,10133,141,0,1
49,0,1,1,1,1,10134,62,0,1
48,1,1,1,1,1,10135,81,0,1
51,1,1,4,1,1,10136,NA,NA,NA
46,0,1,3,1,1,10137,109,0,4
